MAX6675-k, 2023-07-28 15:26:20, 27.75°C
MAX6675-k, 2023-07-28 15:26:21, 27.75°C
MAX6675-k, 2023-07-28 15:26:22, 28.25°C
MAX6675-k, 2023-07-28 15:26:23, 28.5°C
MAX6675-k, 2023-07-28 15:26:24, 27.75°C
MAX6675-k, 2023-07-28 15:26:25, 28.25°C
MAX6675-k, 2023-07-28 15:26:26, 28.25°C
MAX6675-k, 2023-07-28 15:26:27, 28.0°C
MAX6675-k, 2023-07-28 15:26:28, 28.25°C
MAX6675-k, 2023-07-28 15:26:29, 28.0°C
MAX6675-k, 2023-07-28 15:26:31, 28.25°C
MAX6675-k, 2023-07-28 15:26:32, 28.25°C
MAX6675-k, 2023-07-28 15:26:33, 28.0°C
MAX6675-k, 2023-07-28 15:26:34, 28.25°C
MAX6675-k, 2023-07-28 15:26:35, 28.25°C
MAX6675-k, 2023-07-28 15:26:36, 28.0°C
MAX6675-k, 2023-07-28 15:26:37, 28.0°C
MAX6675-k, 2023-07-28 15:26:38, 28.5°C
MAX6675-k, 2023-07-28 15:26:39, 28.5°C
MAX6675-k, 2023-07-28 15:26:40, 28.25°C
MAX6675-k, 2023-07-28 15:26:41, 28.0°C
MAX6675-k, 2023-07-28 15:26:42, 28.0°C
MAX6675-k, 2023-07-28 15:26:43, 28.5°C
MAX6675-k, 2023-07-28 15:26:44, 28.25°C
MAX6675-k, 2023-07-28 15:26:45, 28.5°C
MAX6675-k, 2023-07-28 15:26:46, 28.25°C
MAX6675-k, 2023-07-28 15:26:47, 27.75°C
MAX6675-k, 2023-07-28 15:26:48, 28.25°C
MAX6675-k, 2023-07-28 15:26:49, 28.5°C
MAX6675-k, 2023-07-28 15:26:50, 28.75°C
MAX6675-k, 2023-07-28 15:26:51, 28.5°C
MAX6675-k, 2023-07-28 15:26:52, 27.75°C
MAX6675-k, 2023-07-28 15:26:53, 28.25°C
MAX6675-k, 2023-07-28 15:26:54, 27.75°C
MAX6675-k, 2023-07-28 15:26:55, 28.5°C
MAX6675-k, 2023-07-28 15:26:56, 27.75°C
MAX6675-k, 2023-07-28 15:26:57, 28.5°C
MAX6675-k, 2023-07-28 15:26:58, 28.25°C
MAX6675-k, 2023-07-28 15:26:59, 28.0°C
MAX6675-k, 2023-07-28 15:27:00, 28.25°C
MAX6675-k, 2023-07-28 15:27:01, 28.5°C
MAX6675-k, 2023-07-28 15:27:03, 28.5°C
MAX6675-k, 2023-07-28 15:27:04, 28.0°C
MAX6675-k, 2023-07-28 15:27:05, 27.75°C
MAX6675-k, 2023-07-28 15:27:06, 28.0°C
MAX6675-k, 2023-07-28 15:27:07, 28.5°C
MAX6675-k, 2023-07-28 15:27:08, 28.25°C
MAX6675-k, 2023-07-28 15:27:09, 28.5°C
MAX6675-k, 2023-07-28 15:27:10, 28.5°C
MAX6675-k, 2023-07-28 15:27:11, 28.25°C
MAX6675-k, 2023-07-28 15:27:12, 27.75°C
MAX6675-k, 2023-07-28 15:27:13, 28.5°C
MAX6675-k, 2023-07-28 15:27:14, 28.5°C
MAX6675-k, 2023-07-28 15:27:15, 27.75°C
MAX6675-k, 2023-07-28 15:27:16, 28.0°C
MAX6675-k, 2023-07-28 15:27:17, 28.5°C
MAX6675-k, 2023-07-28 15:27:18, 28.75°C
MAX6675-k, 2023-07-28 15:27:19, 28.5°C
MAX6675-k, 2023-07-28 15:27:20, 28.25°C
MAX6675-k, 2023-07-28 15:27:21, 28.5°C
MAX6675-k, 2023-07-28 15:27:22, 28.5°C
MAX6675-k, 2023-07-28 15:27:23, 28.5°C
MAX6675-k, 2023-07-28 15:27:24, 28.5°C
MAX6675-k, 2023-07-28 15:27:25, 28.5°C
MAX6675-k, 2023-07-28 15:27:26, 28.25°C
MAX6675-k, 2023-07-28 15:27:27, 28.0°C
MAX6675-k, 2023-07-28 15:27:28, 28.25°C
MAX6675-k, 2023-07-28 15:27:29, 28.5°C
MAX6675-k, 2023-07-28 15:27:30, 28.25°C
MAX6675-k, 2023-07-28 15:27:31, 28.5°C
MAX6675-k, 2023-07-28 15:27:32, 28.25°C
MAX6675-k, 2023-07-28 15:27:34, 28.0°C
MAX6675-k, 2023-07-28 15:27:35, 27.75°C
MAX6675-k, 2023-07-28 15:27:36, 28.0°C
MAX6675-k, 2023-07-28 15:27:37, 28.5°C
MAX6675-k, 2023-07-28 15:27:38, 28.0°C
MAX6675-k, 2023-07-28 15:27:39, 28.5°C
MAX6675-k, 2023-07-28 15:27:40, 28.25°C
MAX6675-k, 2023-07-28 15:27:41, 28.25°C
MAX6675-k, 2023-07-28 15:27:42, 28.0°C
MAX6675-k, 2023-07-28 15:27:43, 28.25°C
MAX6675-k, 2023-07-28 15:27:44, 28.0°C
MAX6675-k, 2023-07-28 15:27:45, 28.25°C
MAX6675-k, 2023-07-28 15:27:46, 28.25°C
MAX6675-k, 2023-07-28 15:27:47, 28.0°C
MAX6675-k, 2023-07-28 15:27:48, 28.5°C
MAX6675-k, 2023-07-28 15:27:49, 28.25°C
MAX6675-k, 2023-07-28 15:27:50, 28.0°C
MAX6675-k, 2023-07-28 15:27:51, 28.25°C
MAX6675-k, 2023-07-28 15:27:52, 28.25°C
MAX6675-k, 2023-07-28 15:27:53, 28.5°C
MAX6675-k, 2023-07-28 15:27:54, 28.5°C
MAX6675-k, 2023-07-28 15:27:55, 28.0°C
MAX6675-k, 2023-07-28 15:27:56, 28.0°C
MAX6675-k, 2023-07-28 15:27:57, 27.5°C
MAX6675-k, 2023-07-28 15:27:58, 28.0°C
MAX6675-k, 2023-07-28 15:27:59, 28.0°C
MAX6675-k, 2023-07-28 15:28:00, 28.5°C
MAX6675-k, 2023-07-28 15:28:01, 27.75°C
MAX6675-k, 2023-07-28 15:28:02, 28.25°C
MAX6675-k, 2023-07-28 15:28:03, 28.5°C
MAX6675-k, 2023-07-28 15:28:05, 27.75°C
MAX6675-k, 2023-07-28 15:28:06, 28.5°C
MAX6675-k, 2023-07-28 15:28:07, 27.75°C
MAX6675-k, 2023-07-28 15:28:08, 28.25°C
MAX6675-k, 2023-07-28 15:28:09, 28.25°C
MAX6675-k, 2023-07-28 15:28:10, 28.25°C
MAX6675-k, 2023-07-28 15:28:11, 28.0°C
MAX6675-k, 2023-07-28 15:28:12, 28.25°C
MAX6675-k, 2023-07-28 15:28:13, 28.0°C
MAX6675-k, 2023-07-28 15:28:14, 28.25°C
MAX6675-k, 2023-07-28 15:28:15, 28.0°C
MAX6675-k, 2023-07-28 15:28:16, 27.75°C
MAX6675-k, 2023-07-28 15:28:17, 28.75°C
MAX6675-k, 2023-07-28 15:28:18, 28.0°C
MAX6675-k, 2023-07-28 15:28:19, 28.25°C
MAX6675-k, 2023-07-28 15:28:20, 28.25°C
MAX6675-k, 2023-07-28 15:28:21, 28.25°C
MAX6675-k, 2023-07-28 15:28:22, 27.75°C
MAX6675-k, 2023-07-28 15:28:23, 28.25°C
MAX6675-k, 2023-07-28 15:28:24, 28.0°C
MAX6675-k, 2023-07-28 15:28:25, 27.75°C
MAX6675-k, 2023-07-28 15:28:26, 28.25°C
MAX6675-k, 2023-07-28 15:28:27, 28.5°C
MAX6675-k, 2023-07-28 15:28:28, 28.25°C
MAX6675-k, 2023-07-28 15:28:29, 27.5°C
MAX6675-k, 2023-07-28 15:28:30, 28.0°C
MAX6675-k, 2023-07-28 15:28:31, 28.5°C
MAX6675-k, 2023-07-28 15:28:32, 28.25°C
MAX6675-k, 2023-07-28 15:28:33, 28.0°C
MAX6675-k, 2023-07-28 15:28:34, 28.0°C
MAX6675-k, 2023-07-28 15:28:35, 28.0°C
MAX6675-k, 2023-07-28 15:28:37, 28.5°C
MAX6675-k, 2023-07-28 15:28:38, 28.25°C
MAX6675-k, 2023-07-28 15:28:39, 28.25°C
MAX6675-k, 2023-07-28 15:28:40, 28.25°C
MAX6675-k, 2023-07-28 15:28:41, 28.25°C
MAX6675-k, 2023-07-28 15:28:42, 28.5°C
MAX6675-k, 2023-07-28 15:28:43, 28.25°C
MAX6675-k, 2023-07-28 15:28:44, 28.0°C
MAX6675-k, 2023-07-28 15:28:45, 28.25°C
MAX6675-k, 2023-07-28 15:28:46, 27.75°C
MAX6675-k, 2023-07-28 15:28:47, 28.25°C
MAX6675-k, 2023-07-28 15:28:48, 28.0°C
MAX6675-k, 2023-07-28 15:28:49, 28.0°C
MAX6675-k, 2023-07-28 15:28:50, 28.25°C
MAX6675-k, 2023-07-28 15:28:51, 28.5°C
MAX6675-k, 2023-07-28 15:28:52, 28.25°C
MAX6675-k, 2023-07-28 15:28:53, 28.25°C
MAX6675-k, 2023-07-28 15:28:54, 28.25°C
MAX6675-k, 2023-07-28 15:28:55, 28.5°C
MAX6675-k, 2023-07-28 15:28:56, 28.5°C
MAX6675-k, 2023-07-28 15:28:57, 27.75°C
MAX6675-k, 2023-07-28 15:28:58, 28.25°C
MAX6675-k, 2023-07-28 15:28:59, 27.75°C
MAX6675-k, 2023-07-28 15:29:00, 28.0°C
MAX6675-k, 2023-07-28 15:29:01, 28.5°C
MAX6675-k, 2023-07-28 15:29:02, 28.25°C
MAX6675-k, 2023-07-28 15:29:03, 28.25°C
MAX6675-k, 2023-07-28 15:29:04, 28.5°C
