MAX6675-k, 2023-07-28 15:35:18, 28.25°C
MAX6675-k, 2023-07-28 15:35:19, 27.75°C
MAX6675-k, 2023-07-28 15:35:20, 28.25°C
MAX6675-k, 2023-07-28 15:35:21, 28.5°C
MAX6675-k, 2023-07-28 15:35:22, 27.75°C
MAX6675-k, 2023-07-28 15:35:24, 28.0°C
MAX6675-k, 2023-07-28 15:35:25, 27.5°C
MAX6675-k, 2023-07-28 15:35:26, 27.5°C
MAX6675-k, 2023-07-28 15:35:27, 28.0°C
MAX6675-k, 2023-07-28 15:35:28, 27.75°C
MAX6675-k, 2023-07-28 15:35:29, 28.0°C
MAX6675-k, 2023-07-28 15:35:30, sensor off
MAX6675-k, 2023-07-28 15:35:31, sensor off
MAX6675-k, 2023-07-28 15:35:32, sensor off
MAX6675-k, 2023-07-28 15:35:33, sensor off
MAX6675-k, 2023-07-28 15:35:34, 28.0°C
MAX6675-k, 2023-07-28 15:35:35, 28.0°C
MAX6675-k, 2023-07-28 15:35:36, 27.5°C
MAX6675-k, 2023-07-28 15:35:37, 28.0°C
MAX6675-k, 2023-07-28 15:35:38, 27.75°C
MAX6675-k, 2023-07-28 15:35:39, 28.0°C
MAX6675-k, 2023-07-28 15:35:40, 27.75°C
MAX6675-k, 2023-07-28 15:35:41, 28.0°C
MAX6675-k, 2023-07-28 15:35:42, 27.75°C
MAX6675-k, 2023-07-28 15:35:43, 27.75°C
MAX6675-k, 2023-07-28 15:35:44, 28.0°C
MAX6675-k, 2023-07-28 15:35:45, 28.25°C
MAX6675-k, 2023-07-28 15:35:46, 28.25°C
MAX6675-k, 2023-07-28 15:35:47, 28.0°C
MAX6675-k, 2023-07-28 15:35:48, 28.25°C
MAX6675-k, 2023-07-28 15:35:49, 28.25°C
MAX6675-k, 2023-07-28 15:35:50, 28.25°C
MAX6675-k, 2023-07-28 15:35:51, 28.25°C
MAX6675-k, 2023-07-28 15:35:52, 28.25°C
MAX6675-k, 2023-07-28 15:35:53, 28.25°C
MAX6675-k, 2023-07-28 15:35:54, 27.75°C
MAX6675-k, 2023-07-28 15:35:56, 28.25°C
MAX6675-k, 2023-07-28 15:35:57, 28.0°C
MAX6675-k, 2023-07-28 15:35:58, 28.25°C
MAX6675-k, 2023-07-28 15:35:59, 28.0°C
MAX6675-k, 2023-07-28 15:36:00, 27.75°C
MAX6675-k, 2023-07-28 15:36:01, 28.0°C
MAX6675-k, 2023-07-28 15:36:02, 28.25°C
MAX6675-k, 2023-07-28 15:36:03, 28.0°C
MAX6675-k, 2023-07-28 15:36:04, 28.25°C
MAX6675-k, 2023-07-28 15:36:05, 28.0°C
MAX6675-k, 2023-07-28 15:36:06, 27.75°C
MAX6675-k, 2023-07-28 15:36:07, 27.75°C
MAX6675-k, 2023-07-28 15:36:08, 28.25°C
MAX6675-k, 2023-07-28 15:36:09, 27.75°C
MAX6675-k, 2023-07-28 15:36:10, 27.75°C
MAX6675-k, 2023-07-28 15:36:11, 28.25°C
MAX6675-k, 2023-07-28 15:36:12, 28.25°C
MAX6675-k, 2023-07-28 15:36:13, 28.25°C
MAX6675-k, 2023-07-28 15:36:14, 28.25°C
MAX6675-k, 2023-07-28 15:36:15, 28.25°C
MAX6675-k, 2023-07-28 15:36:16, 28.25°C
MAX6675-k, 2023-07-28 15:36:17, 28.0°C
MAX6675-k, 2023-07-28 15:36:18, 28.25°C
MAX6675-k, 2023-07-28 15:36:19, 27.75°C
MAX6675-k, 2023-07-28 15:36:20, 28.0°C
MAX6675-k, 2023-07-28 15:36:21, 27.25°C
MAX6675-k, 2023-07-28 15:36:22, 28.25°C
MAX6675-k, 2023-07-28 15:36:23, 28.0°C
MAX6675-k, 2023-07-28 15:36:24, 28.25°C
MAX6675-k, 2023-07-28 15:36:25, 27.75°C
MAX6675-k, 2023-07-28 15:36:27, 28.25°C
MAX6675-k, 2023-07-28 15:36:28, 28.25°C
MAX6675-k, 2023-07-28 15:36:29, 28.0°C
MAX6675-k, 2023-07-28 15:36:30, 28.25°C
MAX6675-k, 2023-07-28 15:36:31, 28.25°C
MAX6675-k, 2023-07-28 15:36:32, 28.25°C
MAX6675-k, 2023-07-28 15:36:33, 27.75°C
MAX6675-k, 2023-07-28 15:36:34, 28.25°C
MAX6675-k, 2023-07-28 15:36:35, 28.25°C
MAX6675-k, 2023-07-28 15:36:36, 27.75°C
MAX6675-k, 2023-07-28 15:36:37, 28.0°C
MAX6675-k, 2023-07-28 15:36:38, 28.0°C
MAX6675-k, 2023-07-28 15:36:39, 28.0°C
MAX6675-k, 2023-07-28 15:36:40, 27.75°C
MAX6675-k, 2023-07-28 15:36:41, 28.25°C
MAX6675-k, 2023-07-28 15:36:42, 28.25°C
MAX6675-k, 2023-07-28 15:36:43, 27.75°C
MAX6675-k, 2023-07-28 15:36:44, 27.5°C
MAX6675-k, 2023-07-28 15:36:45, 28.25°C
MAX6675-k, 2023-07-28 15:36:46, 28.0°C
MAX6675-k, 2023-07-28 15:36:47, 28.0°C
MAX6675-k, 2023-07-28 15:36:48, 27.75°C
MAX6675-k, 2023-07-28 15:36:49, 28.0°C
MAX6675-k, 2023-07-28 15:36:50, 28.25°C
MAX6675-k, 2023-07-28 15:36:51, 27.5°C
MAX6675-k, 2023-07-28 15:36:52, 27.25°C
MAX6675-k, 2023-07-28 15:36:53, 27.75°C
MAX6675-k, 2023-07-28 15:36:54, 28.0°C
MAX6675-k, 2023-07-28 15:36:55, 28.0°C
MAX6675-k, 2023-07-28 15:36:56, 28.25°C
MAX6675-k, 2023-07-28 15:36:57, 28.25°C
MAX6675-k, 2023-07-28 15:36:59, 27.75°C
MAX6675-k, 2023-07-28 15:37:00, 28.0°C
MAX6675-k, 2023-07-28 15:37:01, 28.0°C
MAX6675-k, 2023-07-28 15:37:02, 28.0°C
MAX6675-k, 2023-07-28 15:37:03, 28.25°C
MAX6675-k, 2023-07-28 15:37:04, 28.25°C
MAX6675-k, 2023-07-28 15:37:05, 28.25°C
MAX6675-k, 2023-07-28 15:37:06, 27.75°C
MAX6675-k, 2023-07-28 15:37:07, 27.5°C
MAX6675-k, 2023-07-28 15:37:08, 27.75°C
MAX6675-k, 2023-07-28 15:37:09, 27.75°C
MAX6675-k, 2023-07-28 15:37:10, 28.25°C
MAX6675-k, 2023-07-28 15:37:11, 28.25°C
