MAX6675-k, 2023-07-28 15:45:02, 28.0°C
MAX6675-k, 2023-07-28 15:45:03, 28.25°C
MAX6675-k, 2023-07-28 15:45:04, 27.75°C
MAX6675-k, 2023-07-28 15:45:05, 28.0°C
MAX6675-k, 2023-07-28 15:45:06, 27.25°C
MAX6675-k, 2023-07-28 15:45:07, 27.75°C
MAX6675-k, 2023-07-28 15:45:09, 28.25°C
MAX6675-k, 2023-07-28 15:45:10, 28.25°C
MAX6675-k, 2023-07-28 15:45:11, 27.75°C
MAX6675-k, 2023-07-28 15:45:12, 28.0°C
MAX6675-k, 2023-07-28 15:45:13, 28.0°C
MAX6675-k, 2023-07-28 15:45:14, 28.0°C
MAX6675-k, 2023-07-28 15:45:15, 28.0°C
MAX6675-k, 2023-07-28 15:45:16, 28.5°C
MAX6675-k, 2023-07-28 15:45:17, 28.0°C
MAX6675-k, 2023-07-28 15:45:18, 28.5°C
MAX6675-k, 2023-07-28 15:45:19, 28.25°C
MAX6675-k, 2023-07-28 15:45:20, 28.0°C
MAX6675-k, 2023-07-28 15:45:21, 27.75°C
MAX6675-k, 2023-07-28 15:45:22, 28.25°C
MAX6675-k, 2023-07-28 15:45:23, 28.0°C
MAX6675-k, 2023-07-28 15:45:24, 28.0°C
MAX6675-k, 2023-07-28 15:45:25, 28.25°C
MAX6675-k, 2023-07-28 15:45:26, 28.25°C
MAX6675-k, 2023-07-28 15:45:27, 28.25°C
MAX6675-k, 2023-07-28 15:45:28, 28.0°C
MAX6675-k, 2023-07-28 15:45:29, 28.25°C
MAX6675-k, 2023-07-28 15:45:30, 28.5°C
MAX6675-k, 2023-07-28 15:45:31, 27.5°C
MAX6675-k, 2023-07-28 15:45:32, 28.0°C
MAX6675-k, 2023-07-28 15:45:33, 28.25°C
MAX6675-k, 2023-07-28 15:45:34, 28.25°C
MAX6675-k, 2023-07-28 15:45:35, 28.0°C
MAX6675-k, 2023-07-28 15:45:36, 28.5°C
MAX6675-k, 2023-07-28 15:45:37, 28.25°C
MAX6675-k, 2023-07-28 15:45:38, 27.75°C
MAX6675-k, 2023-07-28 15:45:39, 28.25°C
MAX6675-k, 2023-07-28 15:45:41, 28.0°C
MAX6675-k, 2023-07-28 15:45:42, 27.75°C
MAX6675-k, 2023-07-28 15:45:43, 28.0°C
MAX6675-k, 2023-07-28 15:45:44, 28.0°C
MAX6675-k, 2023-07-28 15:45:45, 28.5°C
MAX6675-k, 2023-07-28 15:45:46, 28.25°C
MAX6675-k, 2023-07-28 15:45:47, 28.25°C
MAX6675-k, 2023-07-28 15:45:48, 28.25°C
MAX6675-k, 2023-07-28 15:45:49, 28.25°C
MAX6675-k, 2023-07-28 15:45:50, 28.25°C
MAX6675-k, 2023-07-28 15:45:51, 28.25°C
MAX6675-k, 2023-07-28 15:45:52, 28.25°C
MAX6675-k, 2023-07-28 15:45:53, 28.5°C
MAX6675-k, 2023-07-28 15:45:54, 28.25°C
MAX6675-k, 2023-07-28 15:45:55, 28.25°C
MAX6675-k, 2023-07-28 15:45:56, 28.75°C
MAX6675-k, 2023-07-28 15:45:57, 27.75°C
MAX6675-k, 2023-07-28 15:45:58, 28.0°C
MAX6675-k, 2023-07-28 15:45:59, 27.75°C
MAX6675-k, 2023-07-28 15:46:00, 28.0°C
MAX6675-k, 2023-07-28 15:46:01, 28.25°C
MAX6675-k, 2023-07-28 15:46:02, 28.25°C
MAX6675-k, 2023-07-28 15:46:03, 28.25°C
